x_position,y_position,r,random_seed
-2.878787878787879,-2.212121212121212,-145.46776530736008,5250
-2.878787878787879,-2.1515151515151514,-185.61906736807748,5250
-2.878787878787879,-2.090909090909091,-147.41783840873242,5250
-2.878787878787879,-2.0303030303030303,-132.9192470925145,5250
-2.878787878787879,-1.9696969696969697,-136.1425923035804,5250
-2.878787878787879,-1.9090909090909092,-130.47305620380763,5250
-2.878787878787879,-1.8484848484848484,-132.58687591145681,5250
-2.878787878787879,-1.7878787878787878,-129.63129728664177,5250
-2.878787878787879,-1.7272727272727273,-127.03844905290566,5250
-2.878787878787879,-1.6666666666666665,-137.00905519764157,5250
-2.878787878787879,-1.606060606060606,-128.8479251325089,5250
-2.878787878787879,-1.5454545454545454,-123.95662804878566,5250
-2.878787878787879,-1.4848484848484849,-132.00528578060602,5250
-2.878787878787879,-1.4242424242424243,-128.7606667374398,5250
-2.878787878787879,-1.3636363636363635,-122.13515113746405,5250
-2.878787878787879,-1.303030303030303,-126.91493998292722,5250
-2.878787878787879,-1.2424242424242424,-124.35897291604658,5250
-2.878787878787879,-1.1818181818181817,-124.2123285152463,5250
-2.878787878787879,-1.121212121212121,-124.68140761566475,5250
-2.878787878787879,-1.0606060606060606,-119.92908180301704,5250
-2.878787878787879,-1.0,-118.17442286335178,5250
-2.878787878787879,-0.9393939393939394,-120.2029070617127,5250
-2.878787878787879,-0.8787878787878789,-122.46475682807731,5250
-2.878787878787879,-0.8181818181818183,-119.4863088654287,5250
-2.878787878787879,-0.7575757575757573,-117.06853333785028,5250
-2.878787878787879,-0.6969696969696968,-116.99853014106277,5250
-2.878787878787879,-0.6363636363636362,-117.6927821460921,5250
-2.878787878787879,-0.5757575757575757,-118.49076269988383,5250
-2.878787878787879,-0.5151515151515151,-120.36165501723393,5250
-2.878787878787879,-0.4545454545454546,-117.9160912272802,5250
-2.878787878787879,-0.39393939393939403,-122.09243232191454,5250
-2.878787878787879,-0.33333333333333304,-118.69801711539657,5250
-2.878787878787879,-0.2727272727272725,-117.23706275946776,5250
-2.878787878787879,-0.21212121212121193,-120.52688018869496,5250
-2.878787878787879,-0.15151515151515138,-116.669013442828,5250
-2.878787878787879,-0.09090909090909083,-119.8369767169212,5250
-2.878787878787879,-0.030303030303030276,-117.56081495722906,5250
-2.878787878787879,0.030303030303030276,-117.26363426924472,5250
-2.878787878787879,0.09090909090909083,-116.36761758683495,5250
-2.878787878787879,0.15151515151515138,-119.72404959638767,5250
-2.878787878787879,0.21212121212121238,-156.52298228445255,5250
-2.878787878787879,0.27272727272727293,-118.15931120806056,5250
-2.878787878787879,0.3333333333333335,-116.20222517675423,5250
-2.878787878787879,0.39393939393939403,-121.67545031671857,5250
-2.878787878787879,0.4545454545454546,-117.45384938144967,5250
-2.878787878787879,0.5151515151515151,-118.50996756246992,5250
-2.878787878787879,0.5757575757575757,-118.67027714062043,5250
-2.878787878787879,0.6363636363636367,-118.91915252011445,5250
-2.878787878787879,0.6969696969696972,-117.45102103808053,5250
-2.878787878787879,0.7575757575757578,-116.86290039738276,5250
-2.878787878787879,0.8181818181818183,-121.01106367682681,5250
-2.878787878787879,0.8787878787878789,-123.59982717594018,5250
-2.878787878787879,0.9393939393939394,-122.82459317014627,5250
-2.878787878787879,1.0,-123.45916327706023,5250
-2.878787878787879,1.0606060606060606,-119.52051256389932,5250
-2.878787878787879,1.121212121212121,-117.71415155210403,5250
-2.878787878787879,1.1818181818181817,-120.1357041044802,5250
-2.878787878787879,1.2424242424242422,-118.8244878030878,5250
-2.878787878787879,1.3030303030303028,-119.32593855977196,5250
-2.878787878787879,1.3636363636363633,-124.3423632204932,5250
-2.878787878787879,1.4242424242424248,-120.4190961989085,5250
-2.878787878787879,1.4848484848484853,-124.67163762372695,5250
-2.878787878787879,1.5454545454545459,-120.60139365136725,5250
-2.878787878787879,1.6060606060606064,-122.77160699135221,5250
-2.878787878787879,1.666666666666667,-121.08040797722882,5250
-2.878787878787879,1.7272727272727275,-123.75395162968297,5250
-2.878787878787879,1.787878787878788,-124.97087317115607,5250
-2.878787878787879,1.8484848484848486,-123.90431020394504,5250
-2.878787878787879,1.9090909090909092,-130.00480086646243,5250
-2.878787878787879,1.9696969696969697,-127.12530677292361,5250
-2.878787878787879,2.0303030303030303,-130.87761516661618,5250
-2.878787878787879,2.090909090909091,-132.29459972648345,5250
-2.878787878787879,2.1515151515151514,-128.171187532395,5250
-2.878787878787879,2.212121212121212,-133.31905431016494,5250
-2.878787878787879,2.2727272727272725,-130.14816385540607,5250
-2.878787878787879,2.333333333333334,-131.19185898883515,5250
-2.878787878787879,2.3939393939393945,-132.56794664503536,5250
-2.878787878787879,2.454545454545455,-136.36731087699627,5250
-2.878787878787879,2.5151515151515156,-137.312655376658,5250
-2.878787878787879,2.575757575757576,-188.5438737307129,5250
-2.878787878787879,2.6363636363636367,-140.69322592480287,5250
-2.878787878787879,2.6969696969696972,-141.3285686524215,5250
-2.878787878787879,2.757575757575758,-143.72112186990762,5250
-2.878787878787879,2.8181818181818183,-150.11651551114792,5250
-2.878787878787879,2.878787878787879,-148.0881845090388,5250
-2.878787878787879,2.9393939393939394,-149.27187433823843,5250
-2.878787878787879,3.0,-155.41032444534935,5250
-2.8181818181818183,-3.0,-169.65826825742784,5250
-2.8181818181818183,-2.9393939393939394,-167.4569735061854,5250
-2.8181818181818183,-2.878787878787879,-188.70435161520564,5250
-2.8181818181818183,-2.8181818181818183,-170.95384424185286,5250
-2.8181818181818183,-2.757575757575758,-151.25964568614611,5250
-2.8181818181818183,-2.696969696969697,-155.44955957775312,5250
-2.8181818181818183,-2.6363636363636362,-145.7275491963133,5250
-2.8181818181818183,-2.5757575757575757,-149.7137214385396,5250
-2.8181818181818183,-2.515151515151515,-149.50102373306993,5250
-2.8181818181818183,-2.4545454545454546,-153.29965498035477,5250
-2.8181818181818183,-2.393939393939394,-137.8828518963251,5250
-2.8181818181818183,-2.333333333333333,-137.78399233065898,5250
-2.8181818181818183,-2.2727272727272725,-162.46542727937933,5250
-2.8181818181818183,-2.212121212121212,-133.37995343254968,5250
-2.8181818181818183,-2.1515151515151514,-140.3523420265494,5250
-2.8181818181818183,-2.090909090909091,-139.1532775434636,5250
-2.8181818181818183,-2.0303030303030303,-132.32743703486202,5250
-2.8181818181818183,-1.9696969696969697,-130.22934109716948,5250
-2.8181818181818183,-1.9090909090909092,-161.33577643341403,5250
-2.8181818181818183,-1.8484848484848484,-124.85740435627065,5250
-2.8181818181818183,-1.7878787878787878,-127.42609031939702,5250
-2.8181818181818183,-1.7272727272727273,-127.79275965881084,5250
-2.8181818181818183,-1.6666666666666665,-128.1930130999999,5250
-2.8181818181818183,-1.606060606060606,-124.60346553653473,5250
-2.8181818181818183,-1.5454545454545454,-120.56463505404069,5250
-2.8181818181818183,-1.4848484848484849,-125.40888345456432,5250
-2.8181818181818183,-1.4242424242424243,-118.62973897944131,5250
-2.8181818181818183,-1.3636363636363635,-118.22761379413791,5250
-2.8181818181818183,-1.303030303030303,-123.17048878545478,5250
-2.8181818181818183,-1.2424242424242424,-117.8690613354097,5250
-2.8181818181818183,-1.1818181818181817,-120.01546090020001,5250
-2.8181818181818183,-1.121212121212121,-116.5106807216544,5250
-2.8181818181818183,-1.0606060606060606,-123.3012935040745,5250
-2.8181818181818183,-1.0,-118.03388945805607,5250
-2.8181818181818183,-0.9393939393939394,-115.86648965367453,5250
-2.8181818181818183,-0.8787878787878789,-117.87772235210787,5250
-2.8181818181818183,-0.8181818181818183,-113.93710980748644,5250
-2.8181818181818183,-0.7575757575757573,-114.23219634196897,5250
-2.8181818181818183,-0.6969696969696968,-116.04984301038921,5250
-2.8181818181818183,-0.6363636363636362,-114.2389612847947,5250
-2.8181818181818183,-0.5757575757575757,-118.76709424216874,5250
-2.8181818181818183,-0.5151515151515151,-118.61788603641105,5250
-2.8181818181818183,-0.4545454545454546,-116.92423983980213,5250
-2.8181818181818183,-0.39393939393939403,-118.45620811500048,5250
-2.8181818181818183,-0.33333333333333304,-114.62913578293609,5250
-2.8181818181818183,-0.2727272727272725,-113.19501983741063,5250
-2.8181818181818183,-0.21212121212121193,-113.68948989707611,5250
-2.8181818181818183,-0.15151515151515138,-113.05772548194123,5250
-2.8181818181818183,-0.09090909090909083,-116.74537987009496,5250
-2.8181818181818183,-0.030303030303030276,-114.36162220445034,5250
-2.8181818181818183,0.030303030303030276,-113.96878880976571,5250
-2.8181818181818183,0.09090909090909083,-114.50629792378801,5250
-2.8181818181818183,0.15151515151515138,-113.02565087609207,5250
-2.8181818181818183,0.21212121212121238,-115.90297271528198,5250
-2.8181818181818183,0.27272727272727293,-114.49934170536886,5250
-2.8181818181818183,0.3333333333333335,-118.50120552578908,5250
-2.8181818181818183,0.39393939393939403,-151.5338549162844,5250
-2.8181818181818183,0.4545454545454546,-114.08622853630409,5250
-2.8181818181818183,0.5151515151515151,-117.6425750506305,5250
-2.8181818181818183,0.5757575757575757,-114.06257264767186,5250
-2.8181818181818183,0.6363636363636367,-115.57664249008945,5250
-2.8181818181818183,0.6969696969696972,-116.30905957558986,5250
